feature,importance
DEP_HOUR,0.12549278156757307
DEP_MINUTE,0.07434929693592472
month,0.06665062496639491
PLANE_MODEL_39M,0.06260864153052301
AIR_TIME,0.058888611953090086
temperature_2m,0.0478347945823337
relative_humidity_2m,0.046564604401028
cloud_cover,0.04328719496059211
pressure_msl,0.04204860239954381
wind_speed_10m,0.04144714887426101
dayofweek,0.04041210776498713
PLANE_MODEL_38M,0.03944380493274365
day,0.03835683614754034
PLANE_MODEL_319,0.03207776632797807
PLANE_MODEL_739ER,0.03169316774270083
PLANE_MODEL_753,0.023930246979125887
year,0.019162863648992133
DEST_CITY_NAME_Newark,0.013231063750954909
PLANE_MODEL_763ER,0.0106798482134606
precipitation,0.00811050675057102
DEST_CITY_NAME_Washington,0.0070553926021878835
DEST_CITY_NAME_Houston,0.006765906704163675
DEST_CITY_NAME_Chicago,0.006058906947804895
DEST_CITY_NAME_Las Vegas,0.006055590052165832
PLANE_MODEL_787-8,0.006004273894170381
DEST_CITY_NAME_Honolulu,0.005737426714844281
DEST_CITY_NAME_San Diego,0.0054815044926486926
DEST_CITY_NAME_Denver,0.00500395992488597
DEST_CITY_NAME_Boston,0.004949286635084045
PLANE_MODEL_752,0.00492359698242614
DEST_CITY_NAME_Los Angeles,0.004462227781120633
IS_HOLIDAY,0.004264508032443403
DEST_CITY_NAME_Seattle,0.004081263664298913
DEST_CITY_NAME_Phoenix,0.0036189456576573775
DEST_CITY_NAME_Portland,0.003443002420051
PLANE_MODEL_772ER,0.0029697106038696726
DEST_CITY_NAME_Dallas/Fort Worth,0.0029573088107032073
DEST_CITY_NAME_Austin,0.0028520355876655995
DEST_CITY_NAME_Kona,0.0024781005026338412
DEST_CITY_NAME_Santa Ana,0.0024447373466600503
DEST_CITY_NAME_Atlanta,0.0024004655695307182
DEST_CITY_NAME_Kahului,0.002220420676702291
DEST_CITY_NAME_Eugene,0.001808309059453338
DEST_CITY_NAME_Raleigh/Durham,0.0018063193382854507
DEST_CITY_NAME_Pittsburgh,0.0017988381907265128
PLANE_MODEL_787-9,0.0017065168285877526
DEST_CITY_NAME_Orlando,0.001698598533643527
DEST_CITY_NAME_Nashville,0.0016279132409670156
DEST_CITY_NAME_Cleveland,0.0015974208349655377
DEST_CITY_NAME_Salt Lake City,0.0015348436846097972
DEST_CITY_NAME_New Orleans,0.0014559940209435958
DEST_CITY_NAME_Indianapolis,0.0013934637665911638
DEST_CITY_NAME_Baltimore,0.0013459926385100982
DEST_CITY_NAME_Tampa,0.0012970657813125821
DEST_CITY_NAME_Albuquerque,0.0012569771368992604
DEST_CITY_NAME_Bend/Redmond,0.001231619440501126
DEST_CITY_NAME_Santa Barbara,0.0011560706999026134
DEST_CITY_NAME_Fort Lauderdale,0.0010410723331388
DEST_CITY_NAME_Philadelphia,0.0010303530853586508
DEST_CITY_NAME_Bozeman,0.0009467255316129164
DEST_CITY_NAME_Kansas City,0.000940028659447345
DEST_CITY_NAME_Lihue,0.0009365093635392298
DEST_CITY_NAME_Miami,0.0008734587846010979
DEST_CITY_NAME_Omaha,0.0008156411919500417
DEST_CITY_NAME_San Antonio,0.0008069543612123111
DEST_CITY_NAME_Minneapolis,0.0007984881741043408
DEST_CITY_NAME_Medford,0.0007957735955908878
DEST_CITY_NAME_Boise,0.0007795813739561322
DEST_CITY_NAME_Columbus,0.0007450978699920224
DEST_CITY_NAME_Palm Springs,0.0006693646666048645
DEST_CITY_NAME_Reno,0.0006340660828645371
DEST_CITY_NAME_Ontario,0.0005991093680565372
DEST_CITY_NAME_Jackson,0.00046615016168047546
DEST_CITY_NAME_Anchorage,0.00042859474271566937
PLANE_MODEL_738,0.00039045008942039587
PLANE_MODEL_787-10,0.0003499872633168612
DEST_CITY_NAME_Fort Myers,0.00018863213899385394
PLANE_MODEL_77W,0.00014676022906055092
PLANE_MODEL_764ER,0.000144791622560886
DEST_CITY_NAME_Burbank,8.93993590177245e-05
DEST_CITY_NAME_Fresno,6.335926695985677e-05
DEST_CITY_NAME_Madison,4.42688582088693e-05
DEST_CITY_NAME_Kalispell,3.6100154360897846e-05
DEST_CITY_NAME_Louisville,2.4252441737461277e-05
